date,price,regime
2023-01-01,31.738499535539315,0
2023-01-02,29.516074945900854,0
2023-01-03,32.266909883352426,0
2023-01-04,35.33060449742809,0
2023-01-05,29.180463188468323,0
2023-01-06,29.180520650677867,0
2023-01-07,35.52724485427587,0
2023-01-08,32.68602155203518,0
2023-01-09,28.356839649227666,0
2023-01-10,31.898960152550877,0
2023-01-11,28.378038075156383,0
2023-01-12,28.3699458625041,0
2023-01-13,30.84686795048112,0
2023-01-14,23.303519143697706,0
2023-01-15,23.962787586204385,0
2023-01-16,28.031993647656595,0
2023-01-17,26.45509107882952,0
2023-01-18,31.09986566408346,0
2023-01-19,26.821915735675763,0
2023-01-20,25.056937045326478,0
2023-01-21,35.12977069122544,0
2023-01-22,29.209782948297125,0
2023-01-23,30.236348716407733,0
2023-01-24,25.013381348252903,0
2023-01-25,28.094660464161862,0
2023-01-26,30.388229063984532,0
2023-01-27,25.97152247902194,0
2023-01-28,31.314943064209853,0
2023-01-29,27.897764585284182,0
2023-01-30,28.97907187572353,0
2023-01-31,27.89402685719711,0
2023-02-01,36.482973645781286,0
2023-02-02,29.95275971341723,0
2023-02-03,26.29801174865435,0
2023-02-04,32.87890719236116,0
2023-02-05,25.727047225101423,0
2023-02-06,30.731022582516644,0
2023-02-07,23.141154566420784,0
2023-02-08,25.351348828855492,0
2023-02-09,30.689014325541933,0
2023-02-10,32.584633029983934,0
2023-02-11,30.599788984164896,0
2023-02-12,29.595231011641157,0
2023-02-13,28.94613706543749,0
2023-02-14,24.825173033714005,0
2023-02-15,27.48054527061852,0
2023-02-16,28.387764301640743,0
2023-02-17,33.69992779176621,0
2023-02-18,31.202664013489613,0
2023-02-19,23.82935945623043,0
2023-02-20,31.134293892881782,0
2023-02-21,28.65221201854289,0
2023-02-22,27.630772998929146,0
2023-02-23,32.14086701094304,0
2023-02-24,33.60849832873583,0
2023-02-25,33.2594804169067,0
2023-02-26,27.062738668720765,0
2023-02-27,28.91775668452075,0
2023-02-28,31.159422009912475,0
2023-03-01,33.41440794492826,0
2023-03-02,28.322890167541484,0
2023-03-03,29.35019358167664,0
2023-03-04,26.127827590978903,0
2023-03-05,25.813276815717654,0
2023-03-06,32.843840378379696,0
2023-03-07,34.74684009999788,0
2023-03-08,29.74796457446883,0
2023-03-09,33.51236514262209,0
2023-03-10,31.26572608766672,0
2023-03-11,27.742080858882066,0
2023-03-12,31.26488461927945,0
2023-03-13,35.383127982630896,0
2023-03-14,29.87460886311517,0
2023-03-15,35.47625279534902,0
2023-03-16,20.830892135685893,0
2023-03-17,32.87665876531328,0
2023-03-18,30.3046647388336,0
2023-03-19,28.953474273369462,0
2023-03-20,30.32116271787426,0
2023-03-21,23.043508798896877,0
2023-03-22,29.23114839256871,0
2023-03-23,31.249894000291114,0
2023-03-24,35.172629156595306,0
2023-03-25,28.186054236042235,0
2023-03-26,27.170272389873844,0
2023-03-27,28.24385034745412,0
2023-03-28,33.20390741195726,0
2023-03-29,31.150628883808896,0
2023-03-30,28.145839286815363,0
2023-03-31,31.796436015896745,0
2023-04-01,30.33977142271814,0
2023-04-02,33.390257466865116,0
2023-04-03,27.542814171429267,0
2023-04-04,28.853182486907812,0
2023-04-05,28.62762146403745,0
2023-04-06,24.877697681537583,0
2023-04-07,31.036420969726016,0
2023-04-08,30.913693452629612,0
2023-04-09,30.017897098248614,0
2023-04-10,29.178945033186984,0
2023-04-11,25.04620240282355,0
2023-04-12,28.527741370321245,0
2023-04-13,28.800499192156305,0
2023-04-14,27.192029557724332,0
2023-04-15,29.43550000916897,0
2023-04-16,31.414177998850885,0
2023-04-17,36.601650654236856,0
2023-04-18,30.611022344911436,0
2023-04-19,30.901426367529673,0
2023-04-20,29.739439294818414,0
2023-04-21,23.284300746453354,0
2023-04-22,29.907201435927742,0
2023-04-23,30.210805734793592,0
2023-04-24,38.6213473936985,0
2023-04-25,29.326736623266072,0
2023-04-26,31.055415698167643,0
2023-04-27,29.878508806031647,0
2023-04-28,25.90962686833164,0
2023-04-29,33.99987985080257,0
2023-04-30,32.63176561440371,0
2023-05-01,32.76861181465066,0
2023-05-02,26.817143908218412,0
2023-05-03,34.90978008827635,0
2023-05-04,25.093521280227016,0
2023-05-05,32.053999828300945,0
2023-05-06,37.666594690334925,0
2023-05-07,26.533122862042593,0
2023-05-08,28.017957946390297,0
2023-05-09,30.348779777806744,0
2023-05-10,28.237835210593303,0
2023-05-11,24.572677991268534,0
2023-05-12,30.239970411821094,0
2023-05-13,46.28193700195863,1
2023-05-14,51.657573507223134,1
2023-05-15,46.78201518018169,1
2023-05-16,55.42477041756139,1
2023-05-17,47.25861347682317,1
2023-05-18,48.87278469328014,1
2023-05-19,52.84731026079385,1
2023-05-20,45.691974892481156,1
2023-05-21,50.79610977111445,1
2023-05-22,54.5749996399885,1
2023-05-23,44.373808679035704,1
2023-05-24,50.646218504863064,1
2023-05-25,50.909589779869485,1
2023-05-26,52.736380051220586,1
2023-05-27,45.67067251192671,1
2023-05-28,45.37840185420503,1
2023-05-29,51.82679547965914,1
2023-05-30,51.03944635631615,1
2023-05-31,50.87672497621057,1
2023-06-01,51.212568733239415,1
2023-06-02,47.61991347447528,1
2023-06-03,50.81288794006351,1
2023-06-04,51.02575365654538,1
2023-06-05,47.49977003690771,1
2023-06-06,56.530210789006645,1
2023-06-07,51.658415223191255,1
2023-06-08,45.83043775979073,1
2023-06-09,52.29793763021841,1
2023-06-10,46.58861415420437,1
2023-06-11,52.754796113098585,1
2023-06-12,54.05508452652592,1
2023-06-13,47.127611885769014,1
2023-06-14,53.37181645235513,1
2023-06-15,51.44473324427774,1
2023-06-16,52.87721055998072,1
2023-06-17,56.638775439288814,1
2023-06-18,49.14114159398995,1
2023-06-19,47.36192342474879,1
2023-06-20,46.88669949631067,1
2023-06-21,47.144664002620964,1
2023-06-22,49.730144017050634,1
